season,team_id,team_name,player_name,player_id,pos_rank,eligible_slots,lineup_slot,acquisition_type,pro_team,on_team_id,position,total_points,avg_points,percent_owned,percent_started,actual_rushingAttempts,actual_rushingYards,actual_rushingYardsPerAttempt,actual_receivingReceptions,actual_receivingYards,actual_receivingTouchdowns,actual_receivingTargets,actual_receivingYardsAfterCatch,actual_receivingYardsPerReception,actual_fumbles,actual_turnovers,actual_defensiveTotalTackles,actual_teamWin,actual_teamLoss,actual_pointsScored,actual_gamesPlayed,actual_rushingTouchdowns,actual_passingAttempts,actual_passingCompletions,actual_passingIncompletions,actual_passingYards,actual_passingTouchdowns,actual_passingInterceptions,actual_passingCompletionPercentage,actual_madeFieldGoals,actual_attemptedFieldGoals,actual_missedFieldGoals,actual_madeExtraPoints,actual_attemptedExtraPoints,actual_missedExtraPoints,actual_defensiveTouchdowns,actual_defensiveInterceptions,actual_defensiveSacks,actual_defensiveForcedFumbles,actual_defensivePointsAllowed,actual_defensiveYardsAllowed,projected_rushingAttempts,projected_rushingYards,projected_rushingTouchdowns,projected_rushingYardsPerAttempt,projected_receivingYards,projected_receivingTouchdowns,projected_receivingReceptions,projected_receivingTargets,projected_receivingYardsPerReception,projected_fumbles,projected_turnovers,projected_gamesPlayed,projected_passingAttempts,projected_passingCompletions,projected_passingIncompletions,projected_passingYards,projected_passingTouchdowns,projected_passingInterceptions,projected_passingCompletionPercentage,projected_madeFieldGoals,projected_attemptedFieldGoals,projected_missedFieldGoals,projected_madeExtraPoints,projected_attemptedExtraPoints,projected_missedExtraPoints,projected_defensiveTouchdowns,projected_defensiveInterceptions,projected_defensiveSacks,projected_defensiveForcedFumbles,projected_defensiveTotalTackles,projected_defensivePointsAllowed,projected_defensiveYardsAllowed,round_num,round_pick,drafted_team_id
2021,1,The Commish,Tyreek Hill,3116406,7,"WR, RB/WR",WR,DRAFT,KC,1,WR,185.5,10.91,99.91,93.93,9,96.00000003,10.66666667,111,1239,9,159,444,11.16216216,2,1,2,12,5,54,17,,,,,,,,,,,,,,,,,,,,,14.09756358,96.55853296,0.886957599,6.849306436,1375.150266572942,10.03835255,95.06152751,146.6695672,14.46589701,0.642517513,0.351511889,16.05882353,,,,,,,,,,,,,,,,,,,,,1,11,1
2021,1,The Commish,Najee Harris,4241457,4,"RB, RB/WR",RB,DRAFT,PIT,1,RB,226.7,13.34,99.83,97.49,307,1200.000001,3.90879479,74,466.9999999,3,94,499,6.31081081,,,3,9,7,60,17,7,,,,,,,,,,,,,,,,,,,,259.4782492,1117.2392916713998,8.177354052,4.305714622,371.73749156142674,1.683402817,49.09962687,65.22898807,7.571085877,2.530945136,1.204506108,15.11764706,,,,,,,,,,,,,,,,,,,,,2,2,1
2021,1,The Commish,Dak Prescott,2577417,7,QB,QB,DRAFT,DAL,1,QB,320.56,20.04,97.42,75.48,48,146.0000002,3.04166667,,0,,,,,14,16,1,11,5,230,16,1,596,410,186,278.0625,37,10,0.68791946,,,,,,,,,,,,,57.7624042,258.1268533267723,5.549584196,4.468769209,0,,,,,9.209100347,16.4703104,16.05882353,628.5491304,416.1495174,212.399613,299.2121232,30.47784305,12.0646373,0.662079537,,,,,,,,,,,,,,5,11,1
2021,1,The Commish,Kenny Golladay,2974858,86,"WR, RB/WR",BE,DRAFT,NYG,1,WR,52.1,3.72,55.55,13.95,,0,,37,521,,76,119,14.08108108,,,2,3,11,,14,,,,,,,,,,,,,,,,,,,,,,0,,,1070.931722991366,5.870362989,70.75644729,120.6327614,15.13546488,0.755726622,0.423206908,15.11764706,,,,,,,,,,,,,,,,,,,,,6,2,1
2021,1,The Commish,Leonard Fournette,3115364,11,"RB, RB/WR",RB,DRAFT,TB,1,RB,186.6,13.33,78.53,19.71,180,811.9999998,4.51111111,69,453.9999997,2,84,449,6.57971014,1,,1,10,4,60,14,8,1,,1,,,,,,,,,,,,,,,,,195.1860438,803.5935046935649,7.234981425,4.117064361,208.51587715691764,1.068415462,29.08799346,37.55126061,7.168451734,1.104585213,0.522435496,15.11764706,,,,,,,,,,,,,,,,,,,,,8,2,1
2021,1,The Commish,Mike Gesicki,3116164,11,"TE, RB/WR/TE",BE,DRAFT,MIA,1,TE,92,5.41,88.24,44.34,,0,,73,780.0000002300001,2,111,221,10.68493151,,,2,9,8,14,17,,1,,1,,,,,,,,,,,,,,,,,,0,,,611.3915633330996,4.741004524,52.99131791,83.23971906,11.53757988,0.557082535,0.31196622,16.05882353,,,,,,,,,,,,,,,,,,,,,10,2,1
2021,1,The Commish,Latavius Murray,15920,42,"RB, RB/WR",BE,DRAFT,BAL,1,RB,93.6,6.69,19.44,4.39,119,500.9999996,4.21008403,10,75,,13,71,7.5,,,1,7,7,36,14,6,,,,,,,,,,,,,,,,,,,,111.4367379,466.8356145305088,3.66070935,4.189243362,81.04866176155365,0.463842072,11.73448417,14.53593769,6.906878955,0.790231452,0.371034979,15.11764706,,,,,,,,,,,,,,,,,,,,,11,11,1
2021,1,The Commish,T.Y. Hilton,14924,89,"WR, RB/WR",BE,DRAFT,IND,1,WR,51.1,5.11,15.59,1.43,,0,,23,331.0000001,3,37,71,14.39130435,,,,6,4,18,10,,,,,,,,,,,,,,,,,,,,,,0,,,444.9440200349002,2.694419926,31.06570238,53.84192967,14.32267697,0.220675095,0.123578053,10.58823529,,,,,,,,,,,,,,,,,,,,,12,2,1
2021,1,The Commish,Christian Kirk,3895856,28,"WR, RB/WR",BE,ADD,ARI,1,WR,130.62,7.68,78.98,48.43,1,11,11,77,981.9999998,5,103,243,12.75324675,,,,11,6,30,17,,1,1,,1.94117647,,,1,,,,,,,,,,,,,2.179434642,14.052212743026876,0.068243997,6.44764127,423.11416649453133,2.88791067,34.1781694,53.20076023,12.37966146,0.193148001,0.107005066,15.11764706,,,,,,,,,,,,,,,,,,,,,0,0,-1
2021,1,The Commish,Jarvis Landry,16790,56,"WR, RB/WR",BE,ADD,CLE,1,WR,81,6.75,76.98,20.97,6,40.00000002,6.66666667,52,569.9999999199999,2,87,273,10.96153846,3,2,1,6,6,24,12,2,,,,,,,,,,,,,,,,,,,,4.529242812,27.841027934678753,0.324926094,6.146949742,838.8144591307422,5.506252,72.78940815,108.721175,11.52385327,1.122871903,0.704998231,16.05882353,2.770058994,1.680550691,1.089508303,1.085501571,0.139836248,0.085922031,0.60668408,,,,,,,,,,,,,,10,3,3
